,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
1012,China Hongqiao Group Ltd,Cayman Islands,5/3/2021, CHHQF,10000,1.340000033,13400.00033,0.793650794
1130,China Hongqiao Group Ltd,Cayman Islands,7/15/2021, CHHQF,10000,1.340000033,13400.00033,0.793650794
1247,China Hongqiao Group Ltd,Cayman Islands,8/9/2021, CHHQF,10000,1.340000033,13400.00033,0.793650794
1365,China Hongqiao Group Ltd,Cayman Islands,9/2/2021, CHHQF,10000,1.340000033,13400.00033,0.793650794
1484,China Hongqiao Group Ltd,Cayman Islands,9/9/2021, CHHQF,10000,1.340000033,13400.00033,0.793650794
1608,China Hongqiao Group Ltd,Cayman Islands,10/19/2021, CHHQF,10000,1.340000033,13400.00033,0.793650794
1732,China Hongqiao Group Ltd,Cayman Islands,10/29/2021, CHHQF,10000,1.340000033,13400.00033,0.793650794
1858,China Hongqiao Group Ltd,Cayman Islands,12/14/2021, CHHQF,10000,0.970000029,9700.00029,0.793650794
1984,China Hongqiao Group Ltd,Cayman Islands,1/25/2022, CHHQF,10000,0.970000029,9700.00029,0.793650794
2110,China Hongqiao Group Ltd,Cayman Islands,2/9/2022, CHHQF,10000,0.970000029,9700.00029,0.793650794
2236,China Hongqiao Group Ltd,Cayman Islands,2/16/2022, CHHQF,10000,0.970000029,9700.00029,0.793650794
2361,China Hongqiao Group Ltd,Cayman Islands,3/16/2022, CHHQF,10000,0.970000029,9700.00029,0.793650794
2484,China Hongqiao Group Ltd,Cayman Islands,4/11/2022, CHHQF,10000,0.970000029,9700.00029,0.793650794
2607,China Hongqiao Group Ltd,Cayman Islands,5/11/2022, CHHQF,10000,0.970000029,9700.00029,0.793650794
2730,China Hongqiao Group Ltd,Cayman Islands,6/14/2022, CHHQF,10000,0.970000029,9700.00029,0.793650794
2851,China Hongqiao Group Ltd,Cayman Islands,7/15/2022, CHHQF,10000,1.039999962,10399.99962,0.793650794
2973,China Hongqiao Group Ltd,Cayman Islands,8/8/2022, CHHQF,10000,1.039999962,10399.99962,0.793650794
3094,China Hongqiao Group Ltd,Cayman Islands,9/14/2022, CHHQF,10000,1.039999962,10399.99962,0.793650794
3215,China Hongqiao Group Ltd,Cayman Islands,10/19/2022, CHHQF,10000,1.039999962,10399.99962,0.793650794
3335,China Hongqiao Group Ltd,Cayman Islands,11/9/2022, CHHQF,10000,1.039999962,10399.99962,0.793650794
3454,China Hongqiao Group Ltd,Cayman Islands,12/16/2022, CHHQF,10000,1.039999962,10399.99962,0.793650794
3587,China Hongqiao Group Ltd,Cayman Islands,1/27/2023, CHHQF,10000,0.920000017,9200.00017,0.396825397
3719,China Hongqiao Group Ltd,Cayman Islands,2/8/2023, CHHQF,10000,0.920000017,9200.00017,0.396825397
3851,China Hongqiao Group Ltd,Cayman Islands,2/24/2023, CHHQF,10000,0.920000017,9200.00017,0.396825397
3987,China Hongqiao Group Ltd,Cayman Islands,3/9/2023, CHHQF,10000,0.920000017,9200.00017,0.396825397
6637,Mercialys SA,France,9/28/2020, MEIYF,10000,5.758399963,57583.99963,0.396825397
6749,Mercialys SA,France,11/11/2020, MEIYF,10000,5.642000198,56420.00198,0.396825397
6860,Mercialys SA,France,1/21/2021, MEIYF,10000,9.001399994,90013.99994,0.396825397
6974,Mercialys SA,France,3/3/2021, MEIYF,10000,9.001399994,90013.99994,0.396825397
7087,Mercialys SA,France,4/1/2021, MEIYF,10000,9.001399994,90013.99994,0.396825397
7201,Mercialys SA,France,5/3/2021, MEIYF,10000,9.001399994,90013.99994,0.396825397
7313,Mercialys SA,France,7/15/2021, MEIYF,10000,12.5,125000.0,0.396825397
7426,Mercialys SA,France,8/9/2021, MEIYF,10000,12.5,125000.0,0.396825397
7538,Mercialys SA,France,9/2/2021, MEIYF,10000,11.82999992,118299.9992,0.396825397
7650,Mercialys SA,France,9/9/2021, MEIYF,10000,11.82999992,118299.9992,0.396825397
7761,Mercialys SA,France,10/19/2021, MEIYF,10000,10.69999981,106999.9981,0.396825397
7872,Mercialys SA,France,10/29/2021, MEIYF,10000,10.69999981,106999.9981,0.396825397
7984,Mercialys SA,France,12/14/2021, MEIYF,10000,10.69999981,106999.9981,0.396825397
8097,Mercialys SA,France,1/25/2022, MEIYF,10000,9.300000191,93000.00191,0.396825397
8210,Mercialys SA,France,2/9/2022, MEIYF,10000,9.300000191,93000.00191,0.396825397
8323,Mercialys SA,France,2/16/2022, MEIYF,10000,9.300000191,93000.00191,0.396825397
8435,Mercialys SA,France,3/16/2022, MEIYF,10000,9.300000191,93000.00191,0.396825397
8544,Mercialys SA,France,4/11/2022, MEIYF,10000,9.300000191,93000.00191,0.396825397
8653,Mercialys SA,France,5/11/2022, MEIYF,10000,9.300000191,93000.00191,0.396825397
8762,Mercialys SA,France,6/14/2022, MEIYF,10000,9.521800041,95218.00041,0.396825397
8869,Mercialys SA,France,7/15/2022, MEIYF,10000,9.521800041,95218.00041,0.396825397
8977,Mercialys SA,France,8/8/2022, MEIYF,10000,9.521800041,95218.00041,0.396825397
9085,Mercialys SA,France,9/14/2022, MEIYF,10000,9.521800041,95218.00041,0.396825397
9193,Mercialys SA,France,10/19/2022, MEIYF,10000,6.900000095,69000.00095,0.396825397
